Route,Departing_Port,Arriving_Port,Airline,Month,Sectors_Scheduled,Sectors_Flown,Cancellations,Departures_On_Time,Arrivals_On_Time,Departures_Delayed,Arrivals_Delayed,Year,Month_Num
Sydney-Brisbane,Sydney,Brisbane,Jetstar,2010-07-01,93.0,93,0.0,80.0,81.0,13.0,12.0,2010,7
Sydney-Melbourne,Sydney,Melbourne,Jetstar,2010-07-01,154.0,151,3.0,123.0,117.0,28.0,34.0,2010,7
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2010-07-01,431.0,431,0.0,362.0,365.0,69.0,66.0,2010,7
Brisbane-Sydney,Brisbane,Sydney,Qantas,2010-07-01,644.0,637,7.0,517.0,516.0,120.0,121.0,2010,7
Melbourne-Sydney,Melbourne,Sydney,Qantas,2010-07-01,982.0,963,19.0,802.0,798.0,161.0,165.0,2010,7
Sydney-Brisbane,Sydney,Brisbane,Qantas,2010-07-01,645.0,640,5.0,525.0,521.0,115.0,119.0,2010,7
Sydney-Melbourne,Sydney,Melbourne,Qantas,2010-07-01,982.0,961,21.0,789.0,803.0,172.0,158.0,2010,7
Brisbane-Melbourne,Brisbane,Melbourne,Tigerair Australia,2010-07-01,84.0,84,0.0,60.0,60.0,24.0,24.0,2010,7
Melbourne-Sydney,Melbourne,Sydney,Tigerair Australia,2010-07-01,163.0,163,0.0,119.0,117.0,44.0,46.0,2010,7
Sydney-Melbourne,Sydney,Melbourne,Tigerair Australia,2010-07-01,163.0,163,0.0,105.0,105.0,58.0,58.0,2010,7
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2010-07-01,330.0,327,3.0,277.0,284.0,50.0,43.0,2010,7
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2010-07-01,567.0,555,12.0,376.0,303.0,179.0,252.0,2010,7
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2010-07-01,781.0,765,16.0,551.0,553.0,214.0,212.0,2010,7
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2010-07-01,568.0,559,9.0,321.0,335.0,238.0,224.0,2010,7
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2010-07-01,776.0,757,19.0,559.0,545.0,198.0,212.0,2010,7
Brisbane-Sydney,Brisbane,Sydney,Jetstar,2010-08-01,75.0,74,1.0,53.0,36.0,21.0,38.0,2010,8
Melbourne-Sydney,Melbourne,Sydney,Jetstar,2010-08-01,154.0,154,0.0,114.0,123.0,40.0,31.0,2010,8
Sydney-Brisbane,Sydney,Brisbane,Jetstar,2010-08-01,76.0,76,0.0,65.0,66.0,11.0,10.0,2010,8
Sydney-Melbourne,Sydney,Melbourne,Jetstar,2010-08-01,154.0,154,0.0,133.0,118.0,21.0,36.0,2010,8
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2010-08-01,438.0,438,0.0,392.0,384.0,46.0,54.0,2010,8
Brisbane-Sydney,Brisbane,Sydney,Qantas,2010-08-01,606.0,586,20.0,462.0,472.0,124.0,114.0,2010,8
Melbourne-Sydney,Melbourne,Sydney,Qantas,2010-08-01,909.0,882,27.0,719.0,745.0,163.0,137.0,2010,8
Sydney-Brisbane,Sydney,Brisbane,Qantas,2010-08-01,604.0,582,22.0,526.0,493.0,56.0,89.0,2010,8
Sydney-Melbourne,Sydney,Melbourne,Qantas,2010-08-01,902.0,871,31.0,745.0,717.0,126.0,154.0,2010,8
Brisbane-Melbourne,Brisbane,Melbourne,Tigerair Australia,2010-08-01,71.0,71,0.0,52.0,49.0,19.0,22.0,2010,8
Melbourne-Sydney,Melbourne,Sydney,Tigerair Australia,2010-08-01,136.0,135,1.0,91.0,100.0,44.0,35.0,2010,8
Sydney-Melbourne,Sydney,Melbourne,Tigerair Australia,2010-08-01,137.0,135,2.0,84.0,75.0,51.0,60.0,2010,8
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2010-08-01,352.0,345,7.0,281.0,288.0,64.0,57.0,2010,8
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2010-08-01,563.0,553,10.0,423.0,377.0,130.0,176.0,2010,8
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2010-08-01,810.0,788,22.0,560.0,612.0,228.0,176.0,2010,8
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2010-08-01,564.0,555,9.0,391.0,413.0,164.0,142.0,2010,8
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2010-08-01,805.0,783,22.0,602.0,557.0,181.0,226.0,2010,8
Brisbane-Sydney,Brisbane,Sydney,Jetstar,2010-09-01,87.0,87,0.0,49.0,34.0,38.0,53.0,2010,9
Melbourne-Sydney,Melbourne,Sydney,Jetstar,2010-09-01,150.0,142,8.0,96.0,113.0,46.0,29.0,2010,9
Sydney-Brisbane,Sydney,Brisbane,Jetstar,2010-09-01,85.0,85,0.0,64.0,63.0,21.0,22.0,2010,9
Sydney-Melbourne,Sydney,Melbourne,Jetstar,2010-09-01,150.0,141,9.0,126.0,109.0,15.0,32.0,2010,9
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2010-09-01,434.0,433,1.0,365.0,368.0,68.0,65.0,2010,9
Brisbane-Sydney,Brisbane,Sydney,Qantas,2010-09-01,613.0,596,17.0,459.0,463.0,137.0,133.0,2010,9
Melbourne-Sydney,Melbourne,Sydney,Qantas,2010-09-01,883.0,844,39.0,659.0,685.0,185.0,159.0,2010,9
Sydney-Brisbane,Sydney,Brisbane,Qantas,2010-09-01,617.0,604,13.0,510.0,492.0,94.0,112.0,2010,9
Sydney-Melbourne,Sydney,Melbourne,Qantas,2010-09-01,888.0,850,38.0,683.0,691.0,167.0,159.0,2010,9
Brisbane-Melbourne,Brisbane,Melbourne,Tigerair Australia,2010-09-01,91.0,89,2.0,62.0,59.0,27.0,30.0,2010,9
Melbourne-Sydney,Melbourne,Sydney,Tigerair Australia,2010-09-01,141.0,138,3.0,84.0,94.0,54.0,44.0,2010,9
Sydney-Melbourne,Sydney,Melbourne,Tigerair Australia,2010-09-01,142.0,138,4.0,78.0,69.0,60.0,69.0,2010,9
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2010-09-01,347.0,341,6.0,276.0,290.0,65.0,51.0,2010,9
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2010-09-01,532.0,515,17.0,397.0,355.0,118.0,160.0,2010,9
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2010-09-01,768.0,736,32.0,537.0,562.0,199.0,174.0,2010,9
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2010-09-01,531.0,512,19.0,352.0,369.0,160.0,143.0,2010,9
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2010-09-01,765.0,732,33.0,559.0,514.0,173.0,218.0,2010,9
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,2010-10-01,66.0,66,0.0,31.0,43.0,35.0,23.0,2010,10
Brisbane-Sydney,Brisbane,Sydney,Jetstar,2010-10-01,100.0,95,5.0,63.0,68.0,32.0,27.0,2010,10
Melbourne-Sydney,Melbourne,Sydney,Jetstar,2010-10-01,157.0,144,13.0,94.0,98.0,50.0,46.0,2010,10
Sydney-Brisbane,Sydney,Brisbane,Jetstar,2010-10-01,93.0,87,6.0,69.0,67.0,18.0,20.0,2010,10
Sydney-Melbourne,Sydney,Melbourne,Jetstar,2010-10-01,156.0,141,15.0,112.0,104.0,29.0,37.0,2010,10
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2010-10-01,436.0,436,0.0,348.0,371.0,88.0,65.0,2010,10
Brisbane-Sydney,Brisbane,Sydney,Qantas,2010-10-01,637.0,630,7.0,465.0,466.0,165.0,164.0,2010,10
Melbourne-Sydney,Melbourne,Sydney,Qantas,2010-10-01,940.0,921,19.0,717.0,704.0,204.0,217.0,2010,10
Sydney-Brisbane,Sydney,Brisbane,Qantas,2010-10-01,634.0,624,10.0,485.0,483.0,139.0,141.0,2010,10
Sydney-Melbourne,Sydney,Melbourne,Qantas,2010-10-01,938.0,917,21.0,680.0,704.0,237.0,213.0,2010,10
Brisbane-Melbourne,Brisbane,Melbourne,Tigerair Australia,2010-10-01,87.0,87,0.0,58.0,61.0,29.0,26.0,2010,10
Melbourne-Sydney,Melbourne,Sydney,Tigerair Australia,2010-10-01,138.0,138,0.0,92.0,84.0,46.0,54.0,2010,10
Sydney-Melbourne,Sydney,Melbourne,Tigerair Australia,2010-10-01,138.0,138,0.0,67.0,67.0,71.0,71.0,2010,10
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2010-10-01,351.0,347,4.0,292.0,315.0,55.0,32.0,2010,10
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2010-10-01,557.0,548,9.0,462.0,409.0,86.0,139.0,2010,10
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2010-10-01,777.0,762,15.0,655.0,624.0,107.0,138.0,2010,10
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2010-10-01,557.0,546,11.0,427.0,422.0,119.0,124.0,2010,10
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2010-10-01,771.0,756,15.0,614.0,572.0,142.0,184.0,2010,10
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,2010-11-01,60.0,60,0.0,39.0,48.0,21.0,12.0,2010,11
Brisbane-Sydney,Brisbane,Sydney,Jetstar,2010-11-01,89.0,86,3.0,61.0,69.0,25.0,17.0,2010,11
Melbourne-Sydney,Melbourne,Sydney,Jetstar,2010-11-01,172.0,166,6.0,107.0,110.0,59.0,56.0,2010,11
Sydney-Brisbane,Sydney,Brisbane,Jetstar,2010-11-01,90.0,87,3.0,70.0,68.0,17.0,19.0,2010,11
Sydney-Melbourne,Sydney,Melbourne,Jetstar,2010-11-01,170.0,166,4.0,122.0,110.0,44.0,56.0,2010,11
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2010-11-01,414.0,412,2.0,338.0,357.0,74.0,55.0,2010,11
Brisbane-Sydney,Brisbane,Sydney,Qantas,2010-11-01,612.0,602,10.0,446.0,485.0,156.0,117.0,2010,11
Melbourne-Sydney,Melbourne,Sydney,Qantas,2010-11-01,904.0,871,33.0,695.0,650.0,176.0,221.0,2010,11
Sydney-Brisbane,Sydney,Brisbane,Qantas,2010-11-01,608.0,594,14.0,449.0,463.0,145.0,131.0,2010,11
Sydney-Melbourne,Sydney,Melbourne,Qantas,2010-11-01,912.0,884,28.0,715.0,752.0,169.0,132.0,2010,11
Brisbane-Melbourne,Brisbane,Melbourne,Tigerair Australia,2010-11-01,93.0,92,1.0,50.0,54.0,42.0,38.0,2010,11
Melbourne-Sydney,Melbourne,Sydney,Tigerair Australia,2010-11-01,176.0,176,0.0,108.0,115.0,68.0,61.0,2010,11
Sydney-Melbourne,Sydney,Melbourne,Tigerair Australia,2010-11-01,177.0,175,2.0,92.0,92.0,83.0,83.0,2010,11
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2010-11-01,342.0,340,2.0,269.0,287.0,71.0,53.0,2010,11
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2010-11-01,532.0,527,5.0,446.0,437.0,81.0,90.0,2010,11
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2010-11-01,716.0,689,27.0,566.0,526.0,123.0,163.0,2010,11
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2010-11-01,534.0,525,9.0,420.0,393.0,105.0,132.0,2010,11
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2010-11-01,710.0,686,24.0,567.0,554.0,119.0,132.0,2010,11
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,2010-12-01,87.0,85,2.0,54.0,67.0,31.0,18.0,2010,12
Brisbane-Sydney,Brisbane,Sydney,Jetstar,2010-12-01,99.0,96,3.0,62.0,73.0,34.0,23.0,2010,12
Melbourne-Sydney,Melbourne,Sydney,Jetstar,2010-12-01,185.0,184,1.0,95.0,109.0,89.0,75.0,2010,12
Sydney-Brisbane,Sydney,Brisbane,Jetstar,2010-12-01,93.0,91,2.0,72.0,69.0,19.0,22.0,2010,12
Sydney-Melbourne,Sydney,Melbourne,Jetstar,2010-12-01,181.0,180,1.0,137.0,117.0,43.0,63.0,2010,12
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2010-12-01,426.0,422,4.0,311.0,318.0,111.0,104.0,2010,12
Brisbane-Sydney,Brisbane,Sydney,Qantas,2010-12-01,615.0,608,7.0,390.0,417.0,218.0,191.0,2010,12
Melbourne-Sydney,Melbourne,Sydney,Qantas,2010-12-01,865.0,841,24.0,678.0,649.0,163.0,192.0,2010,12
Sydney-Brisbane,Sydney,Brisbane,Qantas,2010-12-01,617.0,608,9.0,454.0,429.0,154.0,179.0,2010,12
Sydney-Melbourne,Sydney,Melbourne,Qantas,2010-12-01,868.0,844,24.0,673.0,670.0,171.0,174.0,2010,12
Brisbane-Melbourne,Brisbane,Melbourne,Tigerair Australia,2010-12-01,92.0,92,0.0,49.0,51.0,43.0,41.0,2010,12
Melbourne-Sydney,Melbourne,Sydney,Tigerair Australia,2010-12-01,182.0,182,0.0,101.0,98.0,81.0,84.0,2010,12
Sydney-Melbourne,Sydney,Melbourne,Tigerair Australia,2010-12-01,183.0,182,1.0,78.0,83.0,104.0,99.0,2010,12
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2010-12-01,354.0,348,6.0,227.0,243.0,121.0,105.0,2010,12
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2010-12-01,547.0,533,14.0,405.0,379.0,128.0,154.0,2010,12
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2010-12-01,739.0,714,25.0,551.0,540.0,163.0,174.0,2010,12
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2010-12-01,548.0,534,14.0,372.0,309.0,162.0,225.0,2010,12
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2010-12-01,732.0,707,25.0,557.0,519.0,150.0,188.0,2010,12
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,2011-01-01,86.0,80,6.0,49.0,59.0,31.0,21.0,2011,1
Brisbane-Sydney,Brisbane,Sydney,Jetstar,2011-01-01,114.0,109,5.0,72.0,80.0,37.0,29.0,2011,1
Melbourne-Sydney,Melbourne,Sydney,Jetstar,2011-01-01,188.0,182,6.0,97.0,104.0,85.0,78.0,2011,1
Sydney-Brisbane,Sydney,Brisbane,Jetstar,2011-01-01,112.0,108,4.0,81.0,82.0,27.0,26.0,2011,1
Sydney-Melbourne,Sydney,Melbourne,Jetstar,2011-01-01,187.0,184,3.0,129.0,112.0,55.0,72.0,2011,1
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2011-01-01,406.0,402,4.0,340.0,350.0,62.0,52.0,2011,1
Brisbane-Sydney,Brisbane,Sydney,Qantas,2011-01-01,556.0,546,10.0,445.0,458.0,101.0,88.0,2011,1
Melbourne-Sydney,Melbourne,Sydney,Qantas,2011-01-01,807.0,793,14.0,705.0,667.0,88.0,126.0,2011,1
Sydney-Brisbane,Sydney,Brisbane,Qantas,2011-01-01,558.0,549,9.0,473.0,469.0,76.0,80.0,2011,1
Sydney-Melbourne,Sydney,Melbourne,Qantas,2011-01-01,805.0,792,13.0,707.0,679.0,85.0,113.0,2011,1
Brisbane-Melbourne,Brisbane,Melbourne,Tigerair Australia,2011-01-01,83.0,79,4.0,40.0,44.0,39.0,35.0,2011,1
Melbourne-Sydney,Melbourne,Sydney,Tigerair Australia,2011-01-01,186.0,185,1.0,105.0,110.0,80.0,75.0,2011,1
Sydney-Melbourne,Sydney,Melbourne,Tigerair Australia,2011-01-01,185.0,185,0.0,84.0,92.0,101.0,93.0,2011,1
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2011-01-01,350.0,336,14.0,257.0,270.0,79.0,66.0,2011,1
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2011-01-01,553.0,540,13.0,450.0,429.0,90.0,111.0,2011,1
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2011-01-01,743.0,724,19.0,603.0,579.0,121.0,145.0,2011,1
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2011-01-01,553.0,540,13.0,420.0,386.0,120.0,154.0,2011,1
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2011-01-01,738.0,721,17.0,583.0,561.0,138.0,160.0,2011,1
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,2011-02-01,69.0,69,0.0,47.0,51.0,22.0,18.0,2011,2
Brisbane-Sydney,Brisbane,Sydney,Jetstar,2011-02-01,99.0,96,3.0,46.0,49.0,50.0,47.0,2011,2
Melbourne-Sydney,Melbourne,Sydney,Jetstar,2011-02-01,161.0,159,2.0,88.0,77.0,71.0,82.0,2011,2
Sydney-Brisbane,Sydney,Brisbane,Jetstar,2011-02-01,97.0,94,3.0,57.0,58.0,37.0,36.0,2011,2
Sydney-Melbourne,Sydney,Melbourne,Jetstar,2011-02-01,158.0,158,0.0,108.0,93.0,50.0,65.0,2011,2
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2011-02-01,348.0,341,7.0,281.0,290.0,60.0,51.0,2011,2
Brisbane-Sydney,Brisbane,Sydney,Qantas,2011-02-01,542.0,524,18.0,410.0,414.0,114.0,110.0,2011,2
Melbourne-Sydney,Melbourne,Sydney,Qantas,2011-02-01,836.0,805,31.0,664.0,564.0,141.0,241.0,2011,2
Sydney-Brisbane,Sydney,Brisbane,Qantas,2011-02-01,542.0,527,15.0,421.0,420.0,106.0,107.0,2011,2
Sydney-Melbourne,Sydney,Melbourne,Qantas,2011-02-01,836.0,810,26.0,679.0,651.0,131.0,159.0,2011,2
Brisbane-Melbourne,Brisbane,Melbourne,Tigerair Australia,2011-02-01,55.0,53,2.0,32.0,36.0,21.0,17.0,2011,2
Brisbane-Sydney,Brisbane,Sydney,Tigerair Australia,2011-02-01,60.0,60,0.0,28.0,33.0,32.0,27.0,2011,2
Melbourne-Sydney,Melbourne,Sydney,Tigerair Australia,2011-02-01,154.0,154,0.0,103.0,92.0,51.0,62.0,2011,2
Sydney-Brisbane,Sydney,Brisbane,Tigerair Australia,2011-02-01,60.0,60,0.0,31.0,30.0,29.0,30.0,2011,2
Sydney-Melbourne,Sydney,Melbourne,Tigerair Australia,2011-02-01,156.0,153,3.0,65.0,67.0,88.0,86.0,2011,2
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2011-02-01,315.0,304,11.0,206.0,229.0,98.0,75.0,2011,2
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2011-02-01,495.0,476,19.0,323.0,288.0,153.0,188.0,2011,2
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2011-02-01,653.0,631,22.0,398.0,357.0,233.0,274.0,2011,2
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2011-02-01,494.0,479,15.0,299.0,283.0,180.0,196.0,2011,2
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2011-02-01,647.0,627,20.0,398.0,351.0,229.0,276.0,2011,2
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,2011-03-01,75.0,73,2.0,59.0,63.0,14.0,10.0,2011,3
Brisbane-Sydney,Brisbane,Sydney,Jetstar,2011-03-01,92.0,92,0.0,61.0,60.0,31.0,32.0,2011,3
Melbourne-Sydney,Melbourne,Sydney,Jetstar,2011-03-01,178.0,176,2.0,118.0,107.0,58.0,69.0,2011,3
Sydney-Brisbane,Sydney,Brisbane,Jetstar,2011-03-01,89.0,89,0.0,63.0,60.0,26.0,29.0,2011,3
Sydney-Melbourne,Sydney,Melbourne,Jetstar,2011-03-01,175.0,174,1.0,137.0,113.0,37.0,61.0,2011,3
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2011-03-01,409.0,408,1.0,345.0,327.0,63.0,81.0,2011,3
Brisbane-Sydney,Brisbane,Sydney,Qantas,2011-03-01,617.0,603,14.0,480.0,454.0,123.0,149.0,2011,3
Melbourne-Sydney,Melbourne,Sydney,Qantas,2011-03-01,961.0,929,32.0,797.0,699.0,132.0,230.0,2011,3
Sydney-Brisbane,Sydney,Brisbane,Qantas,2011-03-01,617.0,605,12.0,498.0,492.0,107.0,113.0,2011,3
Sydney-Melbourne,Sydney,Melbourne,Qantas,2011-03-01,963.0,934,29.0,801.0,765.0,133.0,169.0,2011,3
Brisbane-Melbourne,Brisbane,Melbourne,Tigerair Australia,2011-03-01,67.0,67,0.0,45.0,46.0,22.0,21.0,2011,3
Brisbane-Sydney,Brisbane,Sydney,Tigerair Australia,2011-03-01,73.0,70,3.0,34.0,39.0,36.0,31.0,2011,3
Melbourne-Sydney,Melbourne,Sydney,Tigerair Australia,2011-03-01,190.0,190,0.0,153.0,140.0,37.0,50.0,2011,3
Sydney-Brisbane,Sydney,Brisbane,Tigerair Australia,2011-03-01,73.0,71,2.0,51.0,43.0,20.0,28.0,2011,3
Sydney-Melbourne,Sydney,Melbourne,Tigerair Australia,2011-03-01,192.0,190,2.0,108.0,102.0,82.0,88.0,2011,3
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2011-03-01,342.0,334,8.0,266.0,242.0,68.0,92.0,2011,3
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2011-03-01,542.0,534,8.0,397.0,345.0,137.0,189.0,2011,3
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2011-03-01,729.0,712,17.0,494.0,453.0,218.0,259.0,2011,3
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2011-03-01,545.0,537,8.0,357.0,344.0,180.0,193.0,2011,3
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2011-03-01,725.0,707,18.0,489.0,432.0,218.0,275.0,2011,3
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,2011-04-01,89.0,88,1.0,58.0,73.0,30.0,15.0,2011,4
Brisbane-Sydney,Brisbane,Sydney,Jetstar,2011-04-01,91.0,87,4.0,60.0,50.0,27.0,37.0,2011,4
Melbourne-Sydney,Melbourne,Sydney,Jetstar,2011-04-01,180.0,172,8.0,115.0,115.0,57.0,57.0,2011,4
Sydney-Brisbane,Sydney,Brisbane,Jetstar,2011-04-01,87.0,83,4.0,73.0,65.0,10.0,18.0,2011,4
Sydney-Melbourne,Sydney,Melbourne,Jetstar,2011-04-01,179.0,170,9.0,126.0,129.0,44.0,41.0,2011,4
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2011-04-01,410.0,410,0.0,311.0,350.0,99.0,60.0,2011,4
Brisbane-Sydney,Brisbane,Sydney,Qantas,2011-04-01,575.0,567,8.0,422.0,458.0,145.0,109.0,2011,4
Melbourne-Sydney,Melbourne,Sydney,Qantas,2011-04-01,872.0,850,22.0,713.0,675.0,137.0,175.0,2011,4
Sydney-Brisbane,Sydney,Brisbane,Qantas,2011-04-01,574.0,567,7.0,462.0,423.0,105.0,144.0,2011,4
Sydney-Melbourne,Sydney,Melbourne,Qantas,2011-04-01,872.0,844,28.0,711.0,729.0,133.0,115.0,2011,4
Brisbane-Melbourne,Brisbane,Melbourne,Tigerair Australia,2011-04-01,89.0,85,4.0,41.0,44.0,44.0,41.0,2011,4
Brisbane-Sydney,Brisbane,Sydney,Tigerair Australia,2011-04-01,92.0,80,12.0,32.0,36.0,48.0,44.0,2011,4
Melbourne-Sydney,Melbourne,Sydney,Tigerair Australia,2011-04-01,205.0,189,16.0,120.0,122.0,69.0,67.0,2011,4
Sydney-Brisbane,Sydney,Brisbane,Tigerair Australia,2011-04-01,94.0,80,14.0,38.0,26.0,42.0,54.0,2011,4
Sydney-Melbourne,Sydney,Melbourne,Tigerair Australia,2011-04-01,207.0,188,19.0,101.0,100.0,87.0,88.0,2011,4
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2011-04-01,319.0,317,2.0,258.0,275.0,59.0,42.0,2011,4
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2011-04-01,522.0,517,5.0,441.0,460.0,76.0,57.0,2011,4
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2011-04-01,720.0,710,10.0,563.0,535.0,147.0,175.0,2011,4
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2011-04-01,521.0,515,6.0,419.0,404.0,96.0,111.0,2011,4
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2011-04-01,721.0,711,10.0,530.0,516.0,181.0,195.0,2011,4
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,2011-05-01,80.0,77,3.0,55.0,59.0,22.0,18.0,2011,5
Brisbane-Sydney,Brisbane,Sydney,Jetstar,2011-05-01,92.0,92,0.0,69.0,62.0,23.0,30.0,2011,5
Melbourne-Sydney,Melbourne,Sydney,Jetstar,2011-05-01,172.0,166,6.0,124.0,124.0,42.0,42.0,2011,5
Sydney-Brisbane,Sydney,Brisbane,Jetstar,2011-05-01,93.0,92,1.0,82.0,70.0,10.0,22.0,2011,5
Sydney-Melbourne,Sydney,Melbourne,Jetstar,2011-05-01,172.0,167,5.0,128.0,138.0,39.0,29.0,2011,5
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2011-05-01,395.0,391,4.0,331.0,343.0,60.0,48.0,2011,5
Brisbane-Sydney,Brisbane,Sydney,Qantas,2011-05-01,579.0,569,10.0,475.0,480.0,94.0,89.0,2011,5
Melbourne-Sydney,Melbourne,Sydney,Qantas,2011-05-01,913.0,886,27.0,782.0,757.0,104.0,129.0,2011,5
Sydney-Brisbane,Sydney,Brisbane,Qantas,2011-05-01,572.0,562,10.0,508.0,485.0,54.0,77.0,2011,5
Sydney-Melbourne,Sydney,Melbourne,Qantas,2011-05-01,914.0,885,29.0,804.0,799.0,81.0,86.0,2011,5
Brisbane-Melbourne,Brisbane,Melbourne,Tigerair Australia,2011-05-01,86.0,85,1.0,63.0,60.0,22.0,25.0,2011,5
Brisbane-Sydney,Brisbane,Sydney,Tigerair Australia,2011-05-01,89.0,80,9.0,55.0,53.0,25.0,27.0,2011,5
Melbourne-Sydney,Melbourne,Sydney,Tigerair Australia,2011-05-01,196.0,191,5.0,134.0,137.0,57.0,54.0,2011,5
Sydney-Brisbane,Sydney,Brisbane,Tigerair Australia,2011-05-01,89.0,81,8.0,56.0,48.0,25.0,33.0,2011,5
Sydney-Melbourne,Sydney,Melbourne,Tigerair Australia,2011-05-01,196.0,190,6.0,135.0,134.0,55.0,56.0,2011,5
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2011-05-01,337.0,332,5.0,302.0,307.0,30.0,25.0,2011,5
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2011-05-01,550.0,542,8.0,473.0,471.0,69.0,71.0,2011,5
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2011-05-01,744.0,718,26.0,605.0,566.0,113.0,152.0,2011,5
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2011-05-01,550.0,543,7.0,471.0,468.0,72.0,75.0,2011,5
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2011-05-01,745.0,723,22.0,589.0,570.0,134.0,153.0,2011,5
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,2011-06-01,75.0,71,4.0,51.0,54.0,20.0,17.0,2011,6
Brisbane-Sydney,Brisbane,Sydney,Jetstar,2011-06-01,89.0,86,3.0,65.0,47.0,21.0,39.0,2011,6
Melbourne-Sydney,Melbourne,Sydney,Jetstar,2011-06-01,180.0,169,11.0,132.0,127.0,37.0,42.0,2011,6
Sydney-Brisbane,Sydney,Brisbane,Jetstar,2011-06-01,89.0,87,2.0,83.0,71.0,4.0,16.0,2011,6
Sydney-Melbourne,Sydney,Melbourne,Jetstar,2011-06-01,183.0,171,12.0,135.0,140.0,36.0,31.0,2011,6
